,champ_name,champ_popularity,champ_top_4_percentage,champ_top_1_percentage,average_placement,players_beaten,composite_score
46,Swain,0.27619047619047615,0.2378378378378378,0.05416666666666666,0.7239057239057238,0.27609427609427606,0.5522847522847523
40,Syndra,0.2507936507936508,0.2594594594594595,0.07500000000000001,0.7171717171717172,0.28282828282828276,0.5336219336219336
53,Lucian,0.253968253968254,0.1981981981981982,0.04583333333333338,0.7710437710437712,0.2289562289562288,0.4829244829244828
49,Singed,0.2126984126984127,0.2306306306306307,0.10416666666666664,0.7441077441077442,0.2558922558922557,0.46859066859066845
47,Lulu,0.18730158730158733,0.236036036036036,0.1541666666666667,0.7239057239057238,0.27609427609427606,0.46339586339586336
44,Tryndamere,0.1841269841269841,0.24504504504504507,0.10833333333333336,0.7272727272727274,0.2727272727272725,0.4568542568542566
22,Talon,0.12063492063492062,0.32432432432432445,0.058333333333333307,0.6666666666666666,0.3333333333333333,0.4539682539682539
45,Warwick,0.15873015873015872,0.24504504504504507,0.07500000000000001,0.734006734006734,0.265993265993266,0.4247234247234247
11,Nocturne,0.03809523809523809,0.38018018018018035,0.016666666666666673,0.6262626262626262,0.3737373737373737,0.4118326118326118
48,Brand,0.1492063492063492,0.2306306306306307,0.041666666666666595,0.7407407407407409,0.25925925925925897,0.4084656084656082
51,Caitlyn,0.13333333333333333,0.21081081081081082,0.13333333333333336,0.7643097643097643,0.23569023569023573,0.36902356902356903
54,Corki,0.1746031746031746,0.15135135135135133,0.06666666666666667,0.8080808080808081,0.19191919191919196,0.3665223665223666
38,Twitch,0.031746031746031744,0.2684684684684685,0.0,0.7239057239057238,0.27609427609427606,0.3078403078403078
55,Poppy,0.10476190476190474,0.13693693693693695,0.1125,0.8282828282828284,0.17171717171717163,0.2764790764790764
56,Quinn,0.14285714285714285,0.12252252252252249,0.07083333333333337,0.8787878787878787,0.12121212121212128,0.2640692640692641
57,Miss Fortune,0.1492063492063492,0.11351351351351344,0.1458333333333333,0.8888888888888888,0.1111111111111111,0.2603174603174603
58,Gangplank,0.13333333333333333,0.043243243243243225,0.041666666666666595,0.952861952861953,0.047138047138047014,0.18047138047138034
59,Illaoi,0.1365079365079365,0.0,0.16249999999999998,1.0,0.0,0.1365079365079365
